capture_id,timestamp_ms,shoulder_roll_joint_rad,shoulder_pitch_joint_rad,shoulder_yaw_joint_rad,elbow_pitch_joint_rad,elbow_yaw_joint_rad,wrist_pitch_joint_rad,wrist_roll_joint_rad,moveit_pose_x_mm,moveit_pose_y_mm,moveit_pose_z_mm,moveit_pose_qw,moveit_pose_qx,moveit_pose_qy,moveit_pose_qz,moving_camera_q0,moving_camera_qx,moving_camera_qy,moving_camera_qz,moving_camera_tx_mm,moving_camera_ty_mm,moving_camera_tz_mm,moving_camera_error,moving_camera_frame,moving_camera_visible_markers,moving_accepted_samples,fixed_camera_q0,fixed_camera_qx,fixed_camera_qy,fixed_camera_qz,fixed_camera_tx_mm,fixed_camera_ty_mm,fixed_camera_tz_mm,fixed_camera_error,fixed_camera_frame,fixed_camera_visible_markers,fixed_accepted_samples,moving_relative_fixed_q0,moving_relative_fixed_qx,moving_relative_fixed_qy,moving_relative_fixed_qz,moving_relative_fixed_tx_mm,moving_relative_fixed_ty_mm,moving_relative_fixed_tz_mm,moving_relative_fixed_error,moving_relative_fixed_frame,moving_relative_fixed_visible_markers
1,1786454940839,1.70688585301,-0.135250975621,0.0118387851189,-1.93743524549,-0.00766990393943,-1.16293750815,-1.36309323883,-170.818086376,-16.6986688386,217.968322727,0.0217760362028,0.0426264001735,0.998831956311,-0.00659676485116,0.234956003582,0.634993140805,-0.325980978621,0.659784653572,-21.6822601318,133.741743978,-1052.93973389,0.162050651014,17165,4,30,0.194892605736,-0.442108372999,-0.37735436952,-0.79003844119,88.6904894511,-90.7659670512,-961.84743042,0.298456754287,17165,4,30,-0.633189489141,0.734141610481,0.235103063661,-0.0695249312069,-12.4173179465,-252.946631161,82.1430210805,0.339612790798,17165,4
2,1786454961382,1.67656816468,-0.130640146907,-0.042915596056,-1.94210376415,0.00153398078789,-1.15521547955,-1.38155499828,-171.008832768,-16.2590103622,217.775705335,0.0214853730345,0.0481363227606,0.997935134952,-0.0366979509557,0.238879030443,0.657004880276,-0.320558891363,0.639158347576,-20.4691460292,134.087906392,-1052.41519368,0.17393206805,18398,4,30,0.194865289454,-0.442138019293,-0.377393026204,-0.790010123121,88.6891405741,-90.7657473246,-961.8315979,0.298863537113,18398,4,30,-0.627902479794,0.728103619787,0.264129779589,-0.0764137046332,-12.6056456666,-252.169573003,83.2567660804,0.34579152406,18398,4
3,1786454981146,1.61744867244,-0.124492375288,-0.142065421427,-1.94677228282,0.0276116541819,-1.1444046395,-1.41847851716,-172.387300876,-16.0326690996,218.627469957,0.0168332489183,0.0519685788708,0.994133764045,-0.0933486353781,0.247928277674,0.695811102082,-0.305267945879,0.60099081571,-19.2562561671,135.452321879,-1053.17138265,0.183425093194,19586,4,30,0.194872919808,-0.442135289456,-0.377411266122,-0.790001055156,88.6910931905,-90.7641212463,-961.834238688,0.300917379061,19586,4,30,-0.618899952242,0.713195285945,0.318054725816,-0.0845962446303,-13.8521440752,-252.579560192,84.7388170694,0.352414576649,19586,4
4,1786454999676,1.5401385672,-0.126029318193,-0.273771905874,-1.95610932015,0.0598252507275,-1.13822701661,-1.48155619526,-173.979393003,-15.5593462116,220.030214377,0.00899783734892,0.0513542359925,0.984505268657,-0.167425079828,0.260711317922,0.742883557823,-0.27939072826,0.549631193789,-18.3761460622,137.6508255,-1054.42532552,0.196853654583,20699,4,30,0.194895415732,-0.442178772349,-0.377373449226,-0.789989234123,88.7042312622,-90.7634707133,-961.815348307,0.292877573768,20699,4,30,-0.60644398193,0.68819749718,0.387768323533,-0.0908054454313,-15.3568504291,-253.970262227,86.4822458737,0.352886149543,20699,4
5,1786455025230,1.72962411926,-0.135250975621,0.0606737737343,-1.9358790726,-0.00766990393943,-1.16757072532,-1.36001627893,-170.4873618,-17.5037846234,218.634030728,0.0193421776026,0.0295564390135,0.99921987278,0.0176619058826,0.235014523934,0.615920263876,-0.321915580966,0.67954452453,-23.4296784719,134.207402039,-1054.00293783,0.155864193539,22232,4,30,0.194858521468,-0.442151395843,-0.377346074866,-0.790026733439,88.6748766581,-90.7636815389,-961.833272298,0.300227885445,22232,4,30,-0.641920181769,0.734674685663,0.212085728069,-0.0566677194961,-12.3826214775,-254.814968511,81.1829383448,0.338275671644,22232,4
6,1786455042929,1.77661653617,-0.159842062098,0.196819802602,-1.9234296895,-0.00766990393943,-1.19691443402,-1.30001556074,-170.248267781,-17.0262752735,218.667375373,0.0233933566188,0.0289091718871,0.995324588265,0.0891401965597,0.21983938776,0.562754426401,-0.339247862322,0.721033277364,-25.7237437566,133.509840902,-1053.15992432,0.133648363252,23297,4,30,0.194853149196,-0.442120968018,-0.377333451745,-0.79005111612,88.6612586975,-90.7618158976,-961.844219971,0.301510172089,23297,4,30,-0.647612713388,0.746943202772,0.1426700728,-0.04815470505,-10.4608685377,-255.471711884,79.6557427082,0.329803379111,23297,4
7,1786455070949,1.75084650109,-0.3212210671,0.142065421427,-1.7553630176,-0.00613592315154,-1.48262949247,-1.29540012088,-172.809571556,-21.6973700198,218.874437652,0.168583843707,0.0379734242177,0.981266605755,0.0851666315222,0.299865093754,0.520181076802,-0.438773941281,0.668558151052,-18.395558548,129.763046265,-1055.59557699,0.12439297984,24980,4,30,0.194762312673,-0.442151801419,-0.377263271178,-0.79008977356,88.6422482808,-90.7433502197,-961.84590861,0.299323300521,24980,4,30,-0.534284246804,0.832790799862,0.143057016977,-0.0231196275142,-16.5103796964,-249.40266155,79.9680128284,0.324142023916,24980,4
8,1786455094188,1.77661653617,-0.385772669102,0.113948306769,-1.70089696652,-0.00766990393943,-1.53205047555,-1.24616876236,-178.164291101,-29.9254710068,215.226521481,0.197741968667,0.0469484220086,0.975558662252,0.0835419415781,0.31033651658,0.512616065304,-0.462468127845,0.653482399761,-12.8210849126,132.884161377,-1062.81604004,0.124519853046,26375,4,30,0.19469130991,-0.442157813904,-0.377233234018,-0.790118249758,88.6262921651,-90.7332127889,-961.853468831,0.303595956167,26375,4,30,-0.508107398331,0.848939395758,0.143115681194,-0.0254298228034,-25.4845793525,-250.877656174,83.0703254944,0.328139754378,26375,4
9,1786455111905,1.77206888292,-0.416511527197,0.0606737737343,-1.67288585454,-0.00766990393943,-1.58147145863,-1.24616876236,-178.767546751,-31.0439365742,214.836867704,0.228434696967,0.0533866982725,0.970103933497,0.0621756212991,0.330505995761,0.517285966147,-0.479793434518,0.626880591649,-10.3351584435,131.550406392,-1064.18673503,0.131417547663,27440,4,30,0.194687086262,-0.44219281921,-0.377194552307,-0.790118167613,88.6209170024,-90.7276209513,-961.853094482,0.301010433833,27440,4,30,-0.478729165054,0.862405728976,0.162770418907,-0.0240943122852,-28.0168452513,-249.009743115,82.9530259258,0.328447641352,27440,4
10,1786455144350,1.78722772709,-0.43034401334,0.00147984813986,-1.6775543732,0.00460194236366,-1.57066061858,-1.13385972576,-177.997730754,-36.5692217057,211.580275811,0.236777500935,0.0995404865192,0.965236766607,0.048436463366,0.30618707853,0.533291852519,-0.510778361518,0.600795088514,-6.57178592682,127.359673309,-1067.76242676,0.148258720835,29387,4,30,0.194640765634,-0.442189458069,-0.377200917276,-0.790128422177,88.6157254537,-90.7237291972,-961.850716146,0.303012738625,29387,4,30,-0.458258756716,0.869393992155,0.171779550915,-0.0681526535523,-33.1376919206,-245.432645977,80.6413844077,0.337338654875,29387,4
11,1786455179047,1.87060137,-0.121418489478,0.281171146574,-1.98100808635,0.053689327576,-0.940543084284,-1.04001244859,-184.921458807,-39.4170272221,215.752044138,-0.106683059754,0.0743048656153,0.988627682099,0.0755831852654,0.115305736928,0.614598594868,-0.279706353205,0.728517336921,-24.790815862,144.914547221,-1075.20343831,0.149102157354,31472,4,30,0.194724511763,-0.441951382869,-0.377425340814,-0.790133818926,88.6201016744,-90.7560994466,-961.865397135,0.317357852062,31472,4,30,-0.719227765473,0.666603294416,0.152699514366,-0.122614548723,-29.2058607712,-271.480234429,81.8150444977,0.350638645321,31472,4
12,1786455203737,1.906982596,-0.110659889145,0.390679908924,-1.98100808635,0.0720970970306,-0.903477346972,-0.969242370728,-188.532790314,-43.7096334385,219.592425387,-0.149912948108,0.0713488760125,0.980585844308,0.104340058581,0.0827268240412,0.600809377109,-0.25376964167,0.753515317647,-30.6959564845,148.247624715,-1080.37764893,0.133459022144,32954,4,30,0.194721238106,-0.441911923488,-0.377426555102,-0.790156115469,88.6140800476,-90.7594772339,-961.869889323,0.317126030723,32954,4,30,-0.74901149258,0.638462640554,0.123554761547,-0.126812702435,-30.336373561,-279.5915029,79.4459856172,0.344064281718,32954,4
13,1786455265788,1.95700678174,-0.121418489478,0.335925527749,-1.98100808635,0.039883500485,-1.01467455891,-0.832317654863,-172.059439291,-46.7731556748,216.952483431,-0.100689106488,0.140181628812,0.979359575691,0.105193328116,0.0669604760134,0.603791802174,-0.329907753454,0.722573614582,-26.1453952789,126.805455017,-1080.04553223,0.142895564437,36683,4,30,0.19478506319,-0.441966785171,-0.377323033685,-0.790159141069,88.6157274882,-90.7602363586,-961.852394613,0.309095775088,36683,4,30,-0.700279373456,0.680527226073,0.118742701647,-0.179976844319,-33.1135504767,-262.834903745,65.5428813055,0.340528031905,36683,4
14,1786455280173,1.95700678174,-0.121418489478,0.334445679609,-1.98100808635,0.039883500485,-1.01621896463,-0.832317654863,0,0,0,1,0,0,0,0.0671417138918,0.603873799241,-0.33006781358,0.722415159922,-26.1027585983,126.763526662,-1080.10802816,0.141627110541,37547,4,30,0.194793937432,-0.441910731344,-0.377312997426,-0.790193096298,88.6212498983,-90.7577128092,-961.858371989,0.309485973914,37547,4,30,-0.700088109383,0.680695535932,0.118972127834,-0.179932929898,-33.182162376,-262.808505498,65.5034538665,0.3403524739,37547,4
